"arquivo_climatico","uf","municipio","lat","long","alt","populacao","zb","tbsm","tbum","cdh","cdd10","cdd24","hdd18"
"BRA_BA_Caravelas.834970_INMET","ba","caravelas",-17.73,-39.2,3,22548,8,25.02063927,21.1260273972603,63218,5482.5,504.2,0
"BRA_BA_Conde.866390_INMET","ba","conde",-11.81,-37.62,14,26194,8,25.9344863,21.6538470319635,68524,5816.1,726.2,0
"BRA_BA_Correntina.866710_INMET","ba","correntina",-13.33,-44.62,549,33183,6,23.82134703,15.5892465753425,33453,5044.8,278.1,0
"BRA_BA_Cruz.das.Almas.866570_INMET","ba","cruz_das_almas",-12.67,-39.1,226,64197,8,23.92334475,19.8083447488584,52557,5082,306.6,0
"BRA_BA_Delfino.866100_INMET","ba","umburanas",-10.46,-41.21,637,19055,5,23.84319635,16.3952625570776,33661,5052.8,231.5,0
"BRA_BA_Euclides.da.Cunha.866130_INMET","ba","euclides_da_cunha",-10.54,-39,432,60666,7,24.10829909,18.3350570776256,44806,5149.5,427.2,0
"BRA_BA_Feira.de.Santana.866580_INMET","ba","feira_de_santana",-12.27,-38.97,231,617528,8,24.59780822,19.9172945205479,54966,5328.2,488.8,0
"BRA_BA_Guanambi.AP.866940_INMET","ba","guanambi",-14.21,-42.75,551,85797,6,25.65214612,16.1538356164384,37544,5713,685.5,0
"BRA_BA_Ibotirama.866530_INMET","ba","ibotirama",-12.19,-43.21,430,27655,7,26.73187215,15.9009246575342,41264,6107.1,1012.8,0
"BRA_BA_Ilheus.866990_INMET","ba","ilheus",-14.79,-39.05,78,180213,8,23.44860731,20.5972374429224,56055,4908.7,162.4,0
"BRA_BA_Ipiau.866980_INMET","ba","ipiau",-14.14,-39.73,135,47501,8,24.56248858,20.5930479452055,58798,5315.3,385.8,0
"BRA_BA_Irece.AP.866350_INMET","ba","irece",-11.33,-41.86,755,73380,6,23.94525114,16.3421347031963,33347,5090,251.2,0
"BRA_BA_Itaberaba.832440_INMET","ba","itaberaba",-12.53,-40.31,250,66310,8,24.92978311,19.3959589041096,53082,5449.4,506.2,0
"BRA_BA_Itapetinga.867230_INMET","ba","itapetinga",-15.24,-40.24,279,76184,5,24.67423516,19.174497716895,51100,5356.1,481.6,0
"BRA_BA_Itirucu.866740_INMET","ba","itirucu",-13.53,-40.15,756,13307,5,21.06037671,17.4191095890411,31222,4037,9.4,34.6
