"area","ratio","pd","azi","comp","vid","abs","paf","fv","ven","somb","zb","tbsm","tbum","cdh","phi","phs","phft","tmin","tmax","cgtr","cgta","cgtt","dif_phi","dif_phs","dif_phft","dif_tmin","dif_tmax","dif_cgtr","dif_cgta","dif_cgtt"
77,1,5,0,"sfar","duplo_fs39-87",0.6,50,0.45,"nao",50,2,19.04,14.17,21603,28.6552511415525,14.3858447488585,56.9589041095891,9.45083991512326,34.7935572873079,43.4528176332466,45.311479068394,88.7642967016405,0.869863013698635,-4.486301369863,3.6164383561644,-0.61490337140464,0.144839081785001,-7.93025094105831,-0.208437461997004,-8.13868840305532
58,0.5,2.5,0,"tv","duplo_fs87-87",0.6,30,1,"nao",150,2,19.04,14.17,21603,27.9657534246575,11.6050228310502,60.4292237442922,10.2781090598632,35.5194115198221,30.2554089043627,25.0917067128561,55.3471156172188,2.46803652968033,-8.12328767123292,5.6552511415525,-0.5631231605098,0.5557612798954,-16.1611295615215,-2.50005935226917,-18.6611889137906
77,0.5,5,90,"ref","duplo_fs39-87",0.6,50,1,"nao",150,2,19.04,14.17,21603,29.689497716895,11.6301369863014,58.6803652968037,9.17043636664744,34.1123186722155,38.7473157895829,51.1282325267584,89.8755483163414,2.0479452054795,-6.81050228310507,4.76255707762561,-0.69187941605947,-0.3514412589195,-15.1122403209948,2.53684314913315,-12.5753971718617
77,1,5,90,"tm10","duplo_fs87-87",0.6,50,0.45,"nao",50,2,19.04,14.17,21603,27.7602739726027,15.5251141552511,56.7146118721461,9.1883807041019,35.97322040929,50.9573734308112,41.3707864038567,92.3281598346677,0.242009132420068,-3.5228310502283,3.2808219178082,-0.813491122964599,1.2155348320518,-1.92626549107875,-3.27590883913239,-5.20217433021112
58,1,5,0,"sfar","simples_fs39",0.6,30,0.45,"nao",50,2,19.04,14.17,21603,25.1712328767123,11.2283105022831,63.6004566210046,11.5956533101737,34.5813369555082,27.8320430922488,17.7832018255791,45.6152449178279,-2.51141552511416,-8.02739726027401,10.5388127853882,1.65439901452131,-0.111638214725303,-30.8835919561547,-32.5823494448747,-63.4659414010296
39,1,5,0,"sfar","duplo_fs39-87",0.2,30,0.45,"nao",0,2,19.04,14.17,21603,28.1073059360731,8.48173515981737,63.4109589041096,11.0752885016194,32.7037337158065,22.7237110785938,22.825665565209,45.5493766438028,0.6986301369863,-11.5433789954338,10.8447488584475,1.27509386357483,-2.0689601140047,-49.6468410909303,-35.3294216759352,-84.9762627668655
39,2.5,2.5,270,"tm10","duplo_fs87-87",0.8,50,1,"nao",0,2,19.04,14.17,21603,20.0707762557078,17.1369863013699,62.7922374429224,11.8312108129361,37.7929250229442,62.5058895424062,15.7505075046018,78.256397047008,-4.1118721461187,-3.39954337899547,7.51141552511413,0.951069340155499,2.607547481,7.39497844680778,-11.7975776882248,-4.40259924141706
77,2.5,5,90,"sfar","duplo_fs87-87",0.2,30,1,"nao",150,2,19.04,14.17,21603,31.541095890411,4.93835616438356,63.5205479452055,11.4611087350732,30.0342116979729,8.30891288107973,22.4086420613703,30.71755494245,3.7328767123288,-14.7511415525114,11.0182648401827,1.5524911095713,-5.110438425834,-48.318710161514,-25.0011829599959,-73.3198931215096
77,0.5,5,0,"ref","simples_fs87",0.8,30,1,"nao",0,2,19.04,14.17,21603,24.6552511415525,19.9497716894977,55.3949771689498,9.60366529734041,36.7055435364544,79.2664875110371,40.360870925905,119.627358436942,-3.554794520548,0.865296803652965,2.68949771689496,-0.239277551859981,1.9151832541587,23.0360610885442,-10.2836043961542,12.75245669239
58,1,5,0,"sfiso","simples_fs39",0.8,10,0.45,"nao",50,2,19.04,14.17,21603,24.6301369863014,24.4200913242009,50.9497716894977,9.4572613316718,37.0806804031762,80.6493344323335,39.6866749908227,120.336009423156,-3.05251141552513,5.1643835616438,-2.11187214611867,-0.48399296398059,2.3877052329427,21.9336993839302,-10.6788762796309,11.2548231042993
39,0.5,2.5,180,"tm10","duplo_fs39-87",0.6,10,1,"nao",150,2,19.04,14.17,21603,26.4429223744292,14.134703196347,59.4223744292237,11.3429874957389,33.6271391075711,33.689032374852,27.0209283943154,60.7099607691675,2.45890410958907,-6.67351598173517,4.2146118721461,0.6168447430758,-1.46621895951311,-24.4070415972051,-1.68450727820632,-26.0915488754114
58,1,5,90,"sfiso","duplo_fs39-87",0.2,10,1,"nao",150,2,19.04,14.17,21603,31.0182648401827,5.25799086757991,63.7237442922374,11.646331049349,29.7808598907053,9.00068868110693,21.8799187816185,30.8806074627254,3.63013698630137,-14.1689497716895,10.5388127853881,1.76478807927077,-5.0237536509998,-51.3687978820724,-27.5009413449292,-78.8697392270016
39,1,5,0,"ref","duplo_fs39-87",0.6,50,1,"nao",50,2,19.04,14.17,21603,28.1187214611872,12.9840182648402,58.8972602739726,9.28353213061212,34.761276857655,57.2231618321436,56.6822243585487,113.905386190693,0.710045662100467,-7.04109589041096,6.3310502283105,-0.51666250743245,-0.011416972156205,-15.1473903373804,-1.4728628825954,-16.6202532199758
77,1,2.5,270,"tv","simples_fs87",0.8,30,0.45,"nao",0,2,19.04,14.17,21603,22.2945205479452,19.4703196347032,58.2351598173516,10.9984166259188,39.039711900843,49.8269002146238,16.1770461018959,66.00394631652,-1.91324200913242,0.465753424657522,1.4474885844749,-0.284255608275799,4.2694598459717,11.8889803955301,-5.76576380341358,6.12321659211654
77,0.5,2.5,0,"sfiso","duplo_fs39-87",0.2,50,1,"nao",0,2,19.04,14.17,21603,36.8538812785388,6.92465753424659,56.2214611872146,9.12166592179969,32.705400713722,14.2485416445784,38.5469553809588,52.7954970255373,11.1255707762557,-12.2602739726027,1.13470319634703,-1.84723540254371,-2.2179207229123,-26.5860029423236,12.9526996037005,-13.6333033386231
77,1,2.5,270,"tv","duplo_fs87-87",0.2,10,1,"nao",0,2,19.04,14.17,21603,37.4703196347032,5.35844748858448,57.1712328767123,9.81877897672784,30.3404494640221,8.13042246680823,33.0948120713952,41.2252345382033,13.2625570776256,-13.6461187214612,0.383561643835628,-1.46389325746676,-4.4298025908492,-29.8074973522858,11.1520021660856,-18.6554951862001
